V4.p X,V4.p Y
2.124999999990005e-10,-2.974491476474965e-06
2.129999999990005e-10,-2.974491655503647e-06
2.134999999990005e-10,-2.974491476299497e-06
2.139999999990005e-10,-2.974491651140367e-06
2.144999999990005e-10,-2.974491478524007e-06
2.149999999990005e-10,-2.974491647044066e-06
2.154999999990005e-10,-2.974491483589485e-06
2.159999999990005e-10,-2.974491643127165e-06
2.164999999990005e-10,-2.974491482115706e-06
2.169999999990005e-10,-2.974491644262023e-06
2.174999999990005e-10,-2.974491476696205e-06
2.179999999990005e-10,-2.974491651646722e-06
2.184999999990005e-10,-2.974491475865481e-06
2.189999999990005e-10,-2.974491650523548e-06
2.194999999990005e-10,-2.97449147671703e-06
2.199999999990005e-10,-2.974491642955543e-06
2.204999999990005e-10,-2.974491480194608e-06
2.209999999990005e-10,-2.9744916381663e-06
2.214999999990005e-10,-2.974491476888484e-06
2.219999999990005e-10,-2.974491636550414e-06
2.224999999990005e-10,-2.974491477766848e-06
2.229999999990005e-10,-2.974491638472481e-06
2.234999999990005e-10,-2.974491475860719e-06
2.239999999990005e-10,-2.974491639809437e-06
2.244999999990005e-10,-2.974491475253675e-06
2.249999999990005e-10,-2.974491636466743e-06
2.254999999990005e-10,-2.97449146917202e-06
2.259999999990005e-10,-2.974491635754943e-06
2.264999999990005e-10,-2.974491472702352e-06
2.269999999990005e-10,-2.97449163264608e-06
2.274999999990005e-10,-2.974491475419727e-06
2.279999999990005e-10,-2.974491635188069e-06
2.284999999990005e-10,-2.9744914689535e-06
2.289999999990005e-10,-2.974491631997529e-06
2.294999999990005e-10,-2.974491472967974e-06
2.299999999990005e-10,-2.974491628237902e-06
2.304999999990005e-10,-2.974491468469757e-06
2.309999999990005e-10,-2.974491635911931e-06
2.314999999990005e-10,-2.974491468369206e-06
2.319999999990005e-10,-2.974491636713772e-06
2.324999999990006e-10,-2.974491466609712e-06
2.329999999990005e-10,-2.974491629250946e-06
2.334999999990005e-10,-2.974491473410952e-06
2.339999999990005e-10,-2.974491619904919e-06
2.344999999990006e-10,-2.974491480615578e-06
2.349999999990006e-10,-2.974491614135075e-06
2.354999999990006e-10,-2.974491486113284e-06
2.359999999990006e-10,-2.974491608230127e-06
2.364999999990006e-10,-2.974491483623323e-06
2.369999999990006e-10,-2.974491606638882e-06
2.374999999990006e-10,-2.974491483398948e-06
2.379999999990006e-10,-2.974491605520143e-06
2.384999999990006e-10,-2.974491482425793e-06
2.389999999990006e-10,-2.97449161100357e-06
2.394999999990006e-10,-2.974491481761718e-06
2.399999999990006e-10,-2.974491604854861e-06
2.404999999990006e-10,-2.974491484799726e-06
2.409999999990006e-10,-2.974491599637638e-06
2.414999999990006e-10,-2.974491490316344e-06
2.419999999990006e-10,-2.974491595447931e-06
2.424999999990005e-10,-2.97449149643502e-06
2.429999999990005e-10,-2.974491587453289e-06
2.434999999990006e-10,-2.974491488348347e-06
2.439999999990006e-10,-2.974491592998058e-06
2.444999999990006e-10,-2.974491493713626e-06
2.449999999990006e-10,-2.97449159111995e-06
2.454999999990006e-10,-2.974491489890561e-06
2.459999999990006e-10,-2.974491590934545e-06
2.464999999990006e-10,-2.974491492094891e-06
2.469999999990006e-10,-2.974491590087013e-06
2.474999999990006e-10,-2.974491492483824e-06
2.479999999990006e-10,-2.974491590464431e-06
2.484999999990006e-10,-2.974491491466504e-06
2.489999999990006e-10,-2.974491587540433e-06
2.494999999990006e-10,-2.974491490730223e-06
2.499999999990006e-10,-2.974491582579949e-06
2.504999999990006e-10,-2.974491491222937e-06
2.509999999990006e-10,-2.974491588937394e-06
2.514999999990006e-10,-2.974491487716869e-06
2.519999999990006e-10,-2.974491585716475e-06
2.524999999990006e-10,-2.974491492843837e-06
2.529999999990006e-10,-2.974491579416173e-06
2.534999999990006e-10,-2.974491493612981e-06
2.539999999990006e-10,-2.974491572851031e-06
2.544999999990006e-10,-2.974491496755152e-06
2.549999999990006e-10,-2.974491571864948e-06
2.554999999990006e-10,-2.97449149422601e-06
2.559999999990006e-10,-2.97449157441952e-06
2.564999999990006e-10,-2.974491493055924e-06
2.569999999990006e-10,-2.974491566757599e-06
2.574999999990006e-10,-2.974491496647811e-06
2.579999999990006e-10,-2.974491568244397e-06
2.584999999990006e-10,-2.974491497606569e-06
2.589999999990006e-10,-2.974491568116653e-06
2.594999999990006e-10,-2.974491493528368e-06
2.599999999990006e-10,-2.974491574121123e-06
2.604999999990006e-10,-2.974491485268461e-06
2.609999999990006e-10,-2.974491584698263e-06
2.614999999990006e-10,-2.974491474430723e-06
2.619999999990006e-10,-2.974491587124321e-06
2.624999999990006e-10,-2.974491475884106e-06
2.629999999990006e-10,-2.974491588363046e-06
2.634999999990006e-10,-2.974491474538507e-06
2.639999999990006e-10,-2.974491585606609e-06
2.644999999990006e-10,-2.974491469082231e-06
2.649999999990006e-10,-2.974491593340124e-06
2.654999999990006e-10,-2.974491467465335e-06
2.659999999990006e-10,-2.974491585486962e-06
2.664999999990006e-10,-2.974491469008336e-06
2.669999999990006e-10,-2.974491592564774e-06
2.674999999990006e-10,-2.97449146049142e-06
2.679999999990006e-10,-2.974491591932232e-06
2.684999999990006e-10,-2.974491460901891e-06
